state,district,year,data_value,unit,data_time,agency
West Bengal,Cooch Behar,2024,1986.6,mm,2024-06-01,CGWB
West Bengal,Darjeeling,2024,1634.8,mm,2024-06-01,CGWB
West Bengal,Jalpaiguri,2024,1903.1,mm,2024-06-01,CGWB
West Bengal,Malda,2024,605.5,mm,2024-06-01,CGWB
West Bengal,North Dinajpur,2024,373.5,mm,2024-06-01,CGWB
West Bengal,South Dinajpur,2024,552,mm,2024-06-01,CGWB
West Bengal,Bankura,2024,391.2,mm,2024-06-01,CGWB
West Bengal,Birbhum,2024,266.8,mm,2024-06-01,CGWB
West Bengal,Burdwan,2024,300,mm,2024-06-01,CGWB
West Bengal,East Midnapore,2024,276.6,mm,2024-06-01,CGWB
West Bengal,Hooghly,2024,355.3,mm,2024-06-01,CGWB
West Bengal,Howrah,2024,400,mm,2024-06-01,CGWB
West Bengal,Kolkata,2024,412.3,mm,2024-06-01,CGWB
West Bengal,Murshidabad,2024,905.5,mm,2024-06-01,CGWB
West Bengal,Nadia,2024,196.1,mm,2024-06-01,CGWB
West Bengal,North 24 Parganas,2024,278,mm,2024-06-01,CGWB
West Bengal,Purulia,2024,316.3,mm,2024-06-01,CGWB
West Bengal,South 24 Parganas,2024,341.8,mm,2024-06-01,CGWB
West Bengal,West Midnapore,2024,323.9,mm,2024-06-01,CGWB
West Bengal,Jhargram,2024,287,mm,2024-06-01,CGWB
